Feature_ID	Taxonomy
AB355923.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Acropomatiformes;f__Bathyclupeidae;g__Neobathyclupea;s__argentea
AB372019.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__sp. BFL-2007
AB372076.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__sp. BFL-2007
AB372078.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__sp. BFM-2007
AB372081.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__sp. BFS-2007
AB372084.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__cf. cancrivora BFC-2007
AB377110.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Euphlyctis;s__cf. cyanophlyctis KM-2008
AB430350.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Glandirana;s__rugosa
AB435249.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ansonia;s__sp. KUHE 35066
AB435252.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ansonia;s__kraensis
AB435254.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ansonia;s__sp. KUHE 38071
AB435257.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ansonia;s__endauensis
